LDBC Query Label;UCQT
IC1;((ERknows|(ERknows/ERknows))|(ERknows/(ERknows/ERknows)))/(([NRPerson]ERisLocatedIn)|((ERworkAt|ERstudyAt)/([NROrganisation]ERisLocatedIn)))
IC2;((-ERknows)|ERknows)/(-ERhasCreator)
IC6;((ERknows|(ERknows/ERknows))/((-ERhasCreator)[ERhasTag]))[ERhasTag]
IC7;((-ERhasCreator)/(-ERlikes))|(((-ERhasCreator)/(-ERlikes))^ERknows)
IC8;(-ERhasCreator)/((-ERreplyOf)/([NRComment]ERhasCreator))
IC9;(ERknows|(ERknows/ERknows))/(-ERhasCreator)
IC11;(ERknows|(ERknows/ERknows))/(ERworkAt/([NROrganisation]ERisLocatedIn))
IC12;ERknows/(((-ERhasCreator)[NRComment])/(ERreplyOf/(([(NRPost|NRComment)]ERhasTag)/(ERhasType/ERisSubClassOf+))))
IC13;ERknows+
IC14;(ERknows^(((-ERhasCreator)[NRComment])/(ERreplyOf/ERhasCreator)))+
Y1;ERknows+/(ERstudyAt/(([NROrganisation]ERisLocatedIn)/ERisPartOf+))
Y2;ERlikes/(ERhasCreator/(ERknows+/([NRPerson]ERisLocatedIn)))
Y3;(ERlikes[NRComment])/(ERreplyOf+/(([(NRPost|NRComment)]ERisLocatedIn)/ERisPartOf+))
Y4;ERhasMember/((ERstudyAt|ERworkAt)/(([NROrganisation]ERisLocatedIn)/ERisPartOf+))
Y5;(-ERhasMember)/(([ERcontainerOf]([NRForum]ERhasTag))/(ERhasType/ERisSubClassOf+))
Y6;ERreplyOf+/(([(NRPost|NRComment)]ERisLocatedIn)/ERisPartOf+)
Y7;ERhasModerator/(ERhasInterest/(ERhasType/ERisSubClassOf+))
Y8;([(ERcontainerOf[ERhasCreator])]ERhasModerator)/(([NRPerson]ERisLocatedIn)/ERisPartOf+)
IS2;((-ERhasCreator)[NRComment])/(ERreplyOf+/ERhasCreator)
IS6;((ERreplyOf[NRPost])+)/((-ERcontainerOf)/ERhasModerator)
IS7;(((-ERhasCreator)[NRComment])/(ERreplyOf/ERhasCreator))|((((-ERhasCreator)[NRComment])/(ERreplyOf/ERhasCreator))^ERknows)
BI11;(([(ERisLocatedIn[ERisPartOf])]ERknows)[(ERisLocatedIn[ERisPartOf])])^(ERknows/([(ERisLocatedIn[ERisPartOf])]ERknows))
BI10;(ERknows+[(ERisLocatedIn[ERisPartOf])])/(((-ERhasCreator)[ERhasTag])/(([(NRComment|NRPost)]ERhasTag)/ERhasType))
BI3;(-ERisPartOf)/(((-ERisLocatedIn)[NRPerson])/((-ERhasModerator)/(ERcontainerOf/(([NRPost](-ERreplyOf))/(([NRComment]ERhasTag)/ERhasType)))))
BI9;ERreplyOf+/ERhasCreator
BI20;(ERknows^(ERstudyAt/(-ERstudyAt)))+
LSQB1;(-ERisPartOf)/(((-ERisLocatedIn)[NRPerson])/((-ERhasMember)/(ERcontainerOf/(([NRPost](-ERreplyOf))/(([NRComment]ERhasTag)/ERhasType)))))
LSQB4;(((ERlikes[NRComment])[ERhasTag])[ERreplyOf])/([NRComment]ERhasCreator)
LSQB5;((-ERhasTag)[(NRPost|NRComment)])/((-ERreplyOf)/([NRComment]ERhasTag))
LSQB6;ERknows/(ERknows/ERhasInterest)
