LDBC Query Label;UCQT
IC1;((((((([NRPerson]ERknows)[NRPerson])|([NRPerson]((ERknows[NRPerson])/ERknows)))[NRPerson])|([NRPerson]((ERknows[NRPerson])/((ERknows[NRPerson])/ERknows))))[NRPerson])/((ERisLocatedIn[NRPlace])|([NRPerson]((((ERworkAt[NROrganisation])|([NRPerson]ERstudyAt))[NROrganisation])/(ERisLocatedIn[NRPlace])))))
IC2;((((([NRPerson]-ERknows)[NRPerson])|([NRPerson]ERknows))[NRPerson])/(-ERhasCreator[NRPost]))|((((([NRPerson]-ERknows)[NRPerson])|([NRPerson]ERknows))[NRPerson])/(-ERhasCreator[NRComment]))
IC6;(((((([NRPerson]ERknows)[NRPerson])|([NRPerson]((ERknows[NRPerson])/ERknows)))[NRPerson])/((-ERhasCreator[NRPost])[ERhasTag]))[ERhasTag])|(((((([NRPerson]ERknows)[NRPerson])|([NRPerson]((ERknows[NRPerson])/ERknows)))[NRPerson])/((-ERhasCreator[NRComment])[ERhasTag]))[ERhasTag])
IC7;((((([NRPerson]-ERhasCreator)[NRPost])/-ERlikes)[NRPerson])|([NRPerson](((-ERhasCreator[NRPost])/-ERlikes)^(ERknows[NRPerson]))))|((((([NRPerson]-ERhasCreator)[NRPost])/-ERlikes)[NRPerson])|([NRPerson](((-ERhasCreator[NRComment])/-ERlikes)^(ERknows[NRPerson]))))|((((([NRPerson]-ERhasCreator)[NRComment])/-ERlikes)[NRPerson])|([NRPerson](((-ERhasCreator[NRPost])/-ERlikes)^(ERknows[NRPerson]))))|((((([NRPerson]-ERhasCreator)[NRComment])/-ERlikes)[NRPerson])|([NRPerson](((-ERhasCreator[NRComment])/-ERlikes)^(ERknows[NRPerson]))))
IC8;((([NRPerson]-ERhasCreator)[NRPost])/((-ERreplyOf[NRComment])/(ERhasCreator[NRPerson])))|((([NRPerson]-ERhasCreator)[NRComment])/((-ERreplyOf[NRComment])/(ERhasCreator[NRPerson])))
IC9;((((([NRPerson]ERknows)[NRPerson])|([NRPerson]((ERknows[NRPerson])/ERknows)))[NRPerson])/(-ERhasCreator[NRPost]))|((((([NRPerson]ERknows)[NRPerson])|([NRPerson]((ERknows[NRPerson])/ERknows)))[NRPerson])/(-ERhasCreator[NRComment]))
IC11;((((([NRPerson]ERknows)[NRPerson])|([NRPerson]((ERknows[NRPerson])/ERknows)))[NRPerson])/((ERworkAt[NROrganisation])/(ERisLocatedIn[NRPlace])))
IC12;((([NRPerson]ERknows)[NRPerson])/((-ERhasCreator[NRComment])/((ERreplyOf[NRComment])/((ERhasTag[NRTag])/((ERhasType[NRTagClass])/((ERisSubClassOf[NRTagClass])+))))))|((([NRPerson]ERknows)[NRPerson])/((-ERhasCreator[NRComment])/((ERreplyOf[NRPost])/((ERhasTag[NRTag])/((ERhasType[NRTagClass])/((ERisSubClassOf[NRTagClass])+))))))
IC13;(([NRPerson](ERknows[NRPerson]))+)
IC14;((([NRPerson]ERknows)^((-ERhasCreator[NRComment])/((ERreplyOf[NRComment])/(ERhasCreator[NRPerson]))))+)|((([NRPerson]ERknows)^((-ERhasCreator[NRComment])/((ERreplyOf[NRPost])/(ERhasCreator[NRPerson]))))+)
Y1;(((([NRPerson]ERknows)[NRPerson])+)/((ERstudyAt[NROrganisation])/((ERisLocatedIn[NRPlace])/((ERisPartOf[NRPlace])+))))
Y2;((([NRPerson]ERlikes)[NRPost])/((ERhasCreator[NRPerson])/(((ERknows[NRPerson])+)/(ERisLocatedIn[NRPlace]))))|((([NRPerson]ERlikes)[NRComment])/((ERhasCreator[NRPerson])/(((ERknows[NRPerson])+)/(ERisLocatedIn[NRPlace]))))
