Query;Time;Scale Factor;Approach;Shape;Type;LDBC_QNum;Considered
1;2386;0.1;Schema;Acyclic;GPM;SN1;N
2;16104;0.1;Schema;Acyclic;GPM;SN2;N
3;28835;0.1;Schema;Acyclic;GPM;SN6;N
4;743;0.1;Schema;Cyclic;GPM;SN7;Y
5;193;0.1;Schema;Cyclic;GPM;SN8;Y
6;35879;0.1;Schema;Acyclic;GPM;SN9;N
7;271;0.1;Schema;Acyclic;GPM;SN11;Y
8;2213;0.1;Schema;Acyclic;GN;SN12;N
9;3467;0.1;Schema;Cyclic;GN;SN13;N
10;523;0.1;Schema;Cyclic;GN;SN14;Y
11;3629;0.1;Schema;Acyclic;GN;SN15;N
12;67609;0.1;Schema;Acyclic;GN;SN16;N
13;1019;0.1;Schema;Acyclic;GN;SN17;Y
14;373;0.1;Schema;Acyclic;GN;SN18;Y
15;6715;0.1;Schema;Acyclic;GN;SN21;N
16;972;0.1;Schema;Acyclic;GN;SN23;Y
17;274;0.1;Schema;Acyclic;GN;SN25;Y
18;169;0.1;Schema;Acyclic;GN;SN26;Y
19;1024;0.1;Schema;Cyclic;GN;SN28;Y
20;369;0.1;Schema;Acyclic;GN;SN31;Y
21;1061;0.1;Schema;Cyclic;GPM;SN32;Y
22;43;0.1;Schema;Cyclic;GPM;BI1;Y
23;183312;0.1;Schema;Acyclic;GN;BI2;N
24;160;0.1;Schema;Acyclic;GN;BI3;Y
25;878;0.1;Schema;Acyclic;GN;BI5;Y
26;34;0.1;Schema;Cyclic;GN;BI6;Y
27;554;0.1;Schema;Acyclic;GN;LSQB1;N
28;218;0.1;Schema;Acyclic;GPM;LSQB2;Y
29;422;0.1;Schema;Cyclic;GPM;LSQB3;Y
30;2306;0.1;Schema;Acyclic;GPM;LSQB4;N
1;2317;0.1;Non Schema;Acyclic;GPM;SN1;N
2;11110;0.1;Non Schema;Acyclic;GPM;SN2;N
3;36830;0.1;Non Schema;Acyclic;GPM;SN6;N
4;247;0.1;Non Schema;Cyclic;GPM;SN7;Y
5;127;0.1;Non Schema;Cyclic;GPM;SN8;Y
6;34388;0.1;Non Schema;Acyclic;GPM;SN9;N
7;1029;0.1;Non Schema;Acyclic;GPM;SN11;Y
8;4486;0.1;Non Schema;Acyclic;GN;SN12;N
9;3591;0.1;Non Schema;Cyclic;GN;SN13;N
10;232;0.1;Non Schema;Cyclic;GN;SN14;Y
11;6529;0.1;Non Schema;Acyclic;GN;SN15;N
12;179653;0.1;Non Schema;Acyclic;GN;SN16;N
13;3978;0.1;Non Schema;Acyclic;GN;SN17;Y
14;2764;0.1;Non Schema;Acyclic;GN;SN18;Y
15;6996;0.1;Non Schema;Acyclic;GN;SN21;N
16;4709;0.1;Non Schema;Acyclic;GN;SN23;Y
17;281;0.1;Non Schema;Acyclic;GN;SN25;Y
18;145;0.1;Non Schema;Acyclic;GN;SN26;Y
19;726;0.1;Non Schema;Cyclic;GN;SN28;Y
20;589;0.1;Non Schema;Acyclic;GN;SN31;Y
21;405;0.1;Non Schema;Cyclic;GPM;SN32;Y
22;78;0.1;Non Schema;Cyclic;GPM;BI1;Y
23;37810;0.1;Non Schema;Acyclic;GN;BI2;N
24;844;0.1;Non Schema;Acyclic;GN;BI3;Y
25;686;0.1;Non Schema;Acyclic;GN;BI5;Y
26;16;0.1;Non Schema;Cyclic;GN;BI6;Y
27;753;0.1;Non Schema;Acyclic;GN;LSQB1;N
28;196;0.1;Non Schema;Acyclic;GPM;LSQB2;Y
29;505;0.1;Non Schema;Cyclic;GPM;LSQB3;Y
30;2184;0.1;Non Schema;Acyclic;GPM;LSQB4;N
1;16206;0.3;Schema;Acyclic;GPM;SN1;N
2;0;0.3;Schema;Acyclic;GPM;SN2;N
