Query;Run1;Run2;Run3;Run4;Scale Factor;Approach;Shape;Type;Considered
1;2377.0 ;2373.0 ;2286.0 ;2291.0 ;0.1;Schema;Acyclic;GPM;N
2;15736.0 ;13916.0 ;12901.0 ;15577.0 ;0.1;Schema;Acyclic;GPM;N
3;41219.0 ;39576.0 ;34407.0 ;36701.0 ;0.1;Schema;Acyclic;GPM;N
4;286.0 ;271.0 ;209.0 ;208.0 ;0.1;Schema;Cyclic;GPM;N
5;318.0 ;287.0 ;159.0 ;181.0 ;0.1;Schema;Cyclic;GPM;N
6;40190.0 ;47020.0 ;34650.0 ;48157.0 ;0.1;Schema;Acyclic;GPM;N
7;250.0 ;323.0 ;260.0 ;267.0 ;0.1;Schema;Acyclic;GPM;Y
8;6363.0 ;8133.0 ;6441.0 ;6341.0 ;0.1;Schema;Acyclic;GN;Y
9;3592.0 ;1530.0 ;1245.0 ;3613.0 ;0.1;Schema;Cyclic;GN;N
10;3688.0 ;1654.0 ;1072.0 ;3842.0 ;0.1;Schema;Cyclic;GN;N
11;3524.0  ;1412.0  ;1018.0  ;3448.0  ;0.1;Schema;Acyclic;GN;N
12;35199.0 ;38811.0 ;33494.0 ;35597.0 ;0.1;Schema;Acyclic;GN;N
13;1106.0  ;992.0  ;824.0  ;1109.0 ;0.1;Schema;Acyclic;GN;Y
14;288.0 ;462.0  ;348.0  ;360.0  ;0.1;Schema;Acyclic;GN;Y
15;6820.0  ;8460.0  ;7195.0  ;6665.0  ;0.1;Schema;Acyclic;GN;N
16;915.0 ;888.0 ;819.0 ;917.0 ;0.1;Schema;Acyclic;GN;Y
17;260.0 ;315.0 ;289.0 ;284.0 ;0.1;Schema;Acyclic;GN;Y
18;147.0 ;190.0 ;171.0 ;157.0 ;0.1;Schema;Acyclic;GN;N
19;714.0 ;727.0  ;671.0  ;702.0 ;0.1;Schema;Cyclic;GN;N
20;210.0 ;321.0 ;296.0 ;215.0 ;0.1;Schema;Acyclic;GN;Y
21;236.0  ;257.0  ;239.0  ;223.0  ;0.1;Schema;Cyclic;GPM;N
22;91.0 ;91.0 ;86.0 ;87.0 ;0.1;Schema;Cyclic;GPM;N
23;38767.0 ;43484.0  ;39237.0  ;53723.0  ;0.1;Schema;Acyclic;GN;N
24;151.0 ;180.0 ;162.0 ;346.0  ;0.1;Schema;Acyclic;GN;Y
25;717.0 ;616.0  ;540.0  ;781.0 ;0.1;Schema;Acyclic;GN;Y
26;18.0 ;10.0  ;10.0  ;21.0 ;0.1;Schema;Cyclic;GN;N
27;530.0  ;677.0 ;544.0 ;1358.0 ;0.1;Schema;Acyclic;GN;Y
28;82.0 ;105.0 ;93.0  ;289.0 ;0.1;Schema;Acyclic;GPM;N
29;764.0 ;919.0   ;727.0   ;1959.0 ;0.1;Schema;Cyclic;GPM;N
30;4322.0;2643.0;2342.0;4494.0;0.1;Schema;Acyclic;GPM;N
1;2354.0 ;2229.0 ;2308.0 ;2232.0 ;0.1;Non Schema;Acyclic;GPM;N
2;15736.0 ;13916.0 ;12901.0 ;15577.0 ;0.1;Non Schema;Acyclic;GPM;N
3;41219.0 ;39576.0 ;34407.0 ;36701.0 ;0.1;Non Schema;Acyclic;GPM;N
4;286.0 ;271.0 ;209.0 ;208.0 ;0.1;Non Schema;Cyclic;GPM;N
5;122.0 ;177.0 ;127.0 ;126.0 ;0.1;Non Schema;Cyclic;GPM;N
6;40190.0 ;47020.0 ;34650.0 ;48157.0 ;0.1;Non Schema;Acyclic;GPM;N
7;246.0 ;291.0 ;227.0 ;240.0 ;0.1;Non Schema;Acyclic;GPM;Y
8;4481.0 ;9391.0 ;5223.0 ;5157.0 ;0.1;Non Schema;Acyclic;GN;Y
9;3592.0 ;1530.0 ;1245.0 ;3613.0 ;0.1;Non Schema;Cyclic;GN;N
10;4355.0 ;1469.0 ;1031.0 ;7695.0;0.1;Non Schema;Cyclic;GN;N
11;5494.0 ;3721.0 ;2548.0 ;7813.0 ;0.1;Non Schema;Acyclic;GN;N
12;163220.0 ;188237.0 ;168619.0;202551.0 ;0.1;Non Schema;Acyclic;GN;N
13;3026.0 ;2234.0 ;2516.0 ;3329.0 ;0.1;Non Schema;Acyclic;GN;Y
14;2680.0 ;3888.0 ;2741.0 ;3115.0 ;0.1;Non Schema;Acyclic;GN;Y
15;6963.0 ;9185.0 ;10484.0 ;8482.0 ;0.1;Non Schema;Acyclic;GN;N
16;4556.0 ;2627.0 ;3458.0 ;4932.0 ;0.1;Non Schema;Acyclic;GN;Y
17;260.0 ;305.0 ;395.0 ;300.0 ;0.1;Non Schema;Acyclic;GN;Y
18;147.0 ;211.0 ;259.0 ;165.0 ;0.1;Non Schema;Acyclic;GN;N
19;735.0 ;793.0  ;893.0  ;807.0 ;0.1;Non Schema;Cyclic;GN;N
20;576.0 ;565.0 ;635.0 ;652.0 ;0.1;Non Schema;Acyclic;GN;Y
21;353.0  ;440.0  ;484.0  ;393.0  ;0.1;Non Schema;Cyclic;GPM;N
22;91.0 ;91.0 ;86.0 ;87.0 ;0.1;Non Schema;Cyclic;GPM;N
23;37742.0 ;46949.0  ;46461.0  ;45705.0 ;0.1;Non Schema;Acyclic;GN;N
24;814.0 ;743.0 ;574.0 ;1043.0  ;0.1;Non Schema;Acyclic;GN;Y
25;717.0 ;616.0  ;540.0  ;781.0 ;0.1;Non Schema;Acyclic;GN;Y
26;18.0 ;10.0 ;10.0 ;21.0 ;0.1;Non Schema;Cyclic;GN;N
27;2594.0;3104.0 ;2758.0 ;3071.0  ;0.1;Non Schema;Acyclic;GN;Y
28;65.0 ;95.0  ;92.0  ;75.0  ;0.1;Non Schema;Acyclic;GPM;N
29;517.0 ;651.0   ;592.0   ;613.0 ;0.1;Non Schema;Cyclic;GPM;N
30;4322.0;2888.0;2594.0;2551.0;0.1;Non Schema;Acyclic;GPM;N
1;17838.0   ;16747.0  ;16613.0  ;17092.0   ;0.3;Schema;Acyclic;GPM;N
2;0.0   ;0.0   ;0.0   ;0.0 ;0.3;Schema;Acyclic;GPM;N
3;0.0    ;0.0     ;0.0     ;0.0    ;0.3;Schema;Acyclic;GPM;N
4;1038.0 ;809.0 ;766.0 ;760.0 ;0.3;Schema;Cyclic;GPM;N
5;735.0  ;686.0    ;518.0    ;680.0    ;0.3;Schema;Cyclic;GPM;N
6;0.0     ;0.0    ;0.0    ;0.0   ;0.3;Schema;Acyclic;GPM;N
7;1253.0 ;1285.0 ;1265.0 ;1302.0  ;0.3;Schema;Acyclic;GPM;Y
8;23995.0 ;24040.0 ;24637.0 ;23993.0  ;0.3;Schema;Acyclic;GN;Y
9;31182.0 ;12664.0  ;12531.0  ;27701.0  ;0.3;Schema;Cyclic;GN;N
