Query;Approach;OptStrt;Run1;Run2;Run3;
1;Schema;Initial Term;120.0   ;253.0   ;236.0   ;
2;Schema;Initial Term;113.0   ;224.0  ;216.0   ;
3;Schema;Initial Term;93.0    ;454.0   ;464.0   ;
4;Schema;Initial Term;289.0   ;329.0   ;316.0   ;
7;Schema;Initial Term;82.0    ;219.0   ;186.0   ;
8;Schema;Initial Term;150.0   ;924.0;347.0;
9;Schema;Initial Term;1800000.0  ;1800000.0  ;1800000.0  ;
10;Schema;Initial Term;86.0   ;479.0   ;551.0  ;
11;Schema;Initial Term;67952.0  ;3486.0  ;3980.0   ;
12;Schema;Initial Term;79.0    ;459.0   ;451.0   ;
13;Schema;Initial Term;146.0     ;922.0    ;322.0     ;
14;Schema;Initial Term;76.0   ;1590.0   ;87.0   ;
15;Schema;Initial Term;289.0   ;408.0 ;291.0 ;
16;Schema;Initial Term;32466.0  ;32466.0  ;32466.0  ;
17;Schema;Initial Term;413.0  ;956.0  ;461.0 ;
18;Schema;Initial Term;119934.0  ;91066.0  ;108491.0  ;
19;Schema;Initial Term;160.0   ;1104.0    ;1096.0    ;
20;Schema;Initial Term;177.0;103.0;135.0;
1;Non Schema;Initial Term;29966.0 ;29488.0 ;29740.0 ;
2;Non Schema;Initial Term;30004.0 ;29037.0 ;29169.0 ;
3;Non Schema;Initial Term;48519.0 ;29147.0 ;29274.0 ;
4;Non Schema;Initial Term;50899.0 ;29323.0 ;29169.0 ;
7;Non Schema;Initial Term;44968.0 ;29120.0 ;29025.0 ;
8;Non Schema;Initial Term;46037.0  ;35863.0 ;35637.0;
9;Non Schema;Initial Term;1800000.0  ;1800000.0  ;1800000.0  ;
10;Non Schema;Initial Term;36391.0 ;29264.0 ;29359.0 ;
11;Non Schema;Initial Term;71483.0 ;55492.0 ;55529.0 ;
12;Non Schema;Initial Term;35244.0 ;27504.0 ;27366.0 ;
13;Non Schema;Initial Term;43229.0 ;32967.0 ;32782.0 ;
14;Non Schema;Initial Term;196364.0 ;146186.0 ;145518.0 ;
15;Non Schema;Initial Term;127815.0 ;98199.0  ;98702.0  ;
16;Non Schema;Initial Term;42583.0 ;30680.0  ;30622.0 ;
17;Non Schema;Initial Term;90756.0 ;64759.0 ;70857.0 ;
18;Non Schema;Initial Term;223450.0 ;176708.0 ;176790.0 ;
19;Non Schema;Initial Term;35932.0 ;31761.0 ;31055.0 ;
20;Non Schema;Initial Term;190200.0;152133.0;154107.0;
