Query	Time	Approach	Scale	UApproach
7	0.25266666666666665	Baseline	0.1	SysPB
8	6.590333333333333	Baseline	0.1	SysPB
13	2.693	Baseline	0.1	SysPB
14	3.248	Baseline	0.1	SysPB
16	3.6723333333333334	Baseline	0.1	SysPB
17	0.3333333333333333	Baseline	0.1	SysPB
20	0.6173333333333334	Baseline	0.1	SysPB
24	0.7866666666666666	Baseline	0.1	SysPB
25	0.6456666666666666	Baseline	0.1	SysPB
27	2.9776666666666665	Baseline	0.1	SysPB
7	1.2663333333333333	Baseline	0.3	SysPB
8	24.444333333333333	Baseline	0.3	SysPB
13	7.676	Baseline	0.3	SysPB
14	7.391	Baseline	0.3	SysPB
16	10.545333333333334	Baseline	0.3	SysPB
17	0.8363333333333334	Baseline	0.3	SysPB
20	2.0806666666666667	Baseline	0.3	SysPB
24	2.7263333333333333	Baseline	0.3	SysPB
25	2.639	Baseline	0.3	SysPB
27	14.784666666666666	Baseline	0.3	SysPB
7	12.368333333333334	Baseline	1.0	SysPB
8	198.418	Baseline	1.0	SysPB
13	39.21633333333334	Baseline	1.0	SysPB
14	36.412	Baseline	1.0	SysPB
16	45.698	Baseline	1.0	SysPB
17	2.794	Baseline	1.0	SysPB
20	9.710333333333335	Baseline	1.0	SysPB
24	11.28	Baseline	1.0	SysPB
25	11.494666666666665	Baseline	1.0	SysPB
27	1800.0	Baseline	1.0	SysPB
7	51.762	Baseline	3.0	SysPB
8	1800.0	Baseline	3.0	SysPB
13	100.92066666666668	Baseline	3.0	SysPB
14	104.658	Baseline	3.0	SysPB
16	152.37633333333335	Baseline	3.0	SysPB
17	10.730333333333334	Baseline	3.0	SysPB
20	36.94866666666666	Baseline	3.0	SysPB
24	36.88466666666666	Baseline	3.0	SysPB
25	47.187333333333335	Baseline	3.0	SysPB
27	1800.0	Baseline	3.0	SysPB
7	0.2833333333333333	Schema	0.1	SysPS
8	6.971666666666667	Schema	0.1	SysPS
13	0.975	Schema	0.1	SysPS
14	0.39	Schema	0.1	SysPS
16	0.8746666666666666	Schema	0.1	SysPS
17	0.296	Schema	0.1	SysPS
20	0.2773333333333333	Schema	0.1	SysPS
24	0.22933333333333333	Schema	0.1	SysPS
25	0.6456666666666666	Schema	0.1	SysPS
27	0.8596666666666666	Schema	0.1	SysPS
7	1.284	Schema	0.3	SysPS
8	24.223333333333333	Schema	0.3	SysPS
13	4.329333333333333	Schema	0.3	SysPS
14	1.5563333333333333	Schema	0.3	SysPS
16	3.2836666666666665	Schema	0.3	SysPS
17	0.8056666666666666	Schema	0.3	SysPS
20	0.9126666666666666	Schema	0.3	SysPS
24	0.448	Schema	0.3	SysPS
25	2.639	Schema	0.3	SysPS
27	2.3973333333333335	Schema	0.3	SysPS
7	9.843	Schema	1.0	SysPS
8	168.90033333333335	Schema	1.0	SysPS
13	23.825333333333333	Schema	1.0	SysPS
14	5.874333333333333	Schema	1.0	SysPS
16	13.775666666666666	Schema	1.0	SysPS
17	2.6406666666666667	Schema	1.0	SysPS
20	3.677	Schema	1.0	SysPS
24	2.0503333333333336	Schema	1.0	SysPS
25	11.494666666666665	Schema	1.0	SysPS
27	19.15533333333333	Schema	1.0	SysPS
7	49.928333333333335	Schema	3.0	SysPS
8	1171.876	Schema	3.0	SysPS
13	56.401666666666664	Schema	3.0	SysPS
14	17.784666666666666	Schema	3.0	SysPS
16	53.30266666666667	Schema	3.0	SysPS
17	6.897	Schema	3.0	SysPS
20	12.152333333333335	Schema	3.0	SysPS
24	8.507333333333333	Schema	3.0	SysPS
25	47.187333333333335	Schema	3.0	SysPS
27	82.264	Schema	3.0	SysPS
7	1.945528	Baseline	0.1	SysNB
8	809.8665870000001	Baseline	0.1	SysNB
13	4.310709	Baseline	0.1	SysNB
14	5.317304	Baseline	0.1	SysNB
16	9.592870000000001	Baseline	0.1	SysNB
17	32.576931	Baseline	0.1	SysNB
20	5.65986	Baseline	0.1	SysNB
24	6.966783	Baseline	0.1	SysNB
25	9.273855	Baseline	0.1	SysNB
27	373.088112	Baseline	0.1	SysNB
